id,session,session_id,method,bipop_count,elapsed_sec,timestamp,base_fitness,base_icp_rmse,base_corr_avg_error,base_corr_rmse,base_corr_max_error,base_scale,comp_rmse,comp_avg_error,comp_max_error,comp_count,init_orientation,orient_run,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33,comp_iou_2d,silhouette_count,saved_trial_seed,saved_call_idx,quadrant_mask,comp_iou_2d_occluded
1,Up-R @ Q:AR+AL#1,4,HemiAuto,0,0.398432,2026-05-19 09:12:29,0.000000,0.112261,0.121693,0.131908,0.234427,0.958967,0.102675,0.086091,0.227878,878451,Up-R @ Q:AR+AL,1,-0.807022,-0.287694,0.678811,0.000000,0.698322,0.024464,0.840586,0.000000,-0.236430,1.054263,0.165732,0.000000,0.261333,-1.255324,0.809469,1.000000,0.503210,0,20260420,1,255,0.000000,-1.000000,0,0,0,-1.000000,-1.000000
2,Up-R @ Q:AR+AL#2,4,HemiAuto,0,0.318205,2026-05-19 09:12:29,0.020000,0.106178,0.097465,0.104896,0.152955,1.017917,0.072577,0.059227,0.227881,868025,Up-R @ Q:AR+AL,2,-0.871491,0.112521,0.379244,0.000000,0.391976,0.121984,0.864557,0.000000,0.053308,0.942572,-0.157161,0.000000,-0.052690,-1.142300,1.181316,1.000000,0.504171,0,20260420,2,255,0.000000,-1.000000,0,0,0,-1.000000,-1.000000
3,Up-R @ Q:AR+AL#3,4,BIPOP,1,0.561273,2026-05-19 09:12:38,0.057851,0.109559,0.110521,0.121349,0.206396,1.010498,0.069657,0.055782,0.227881,861969,Up-R @ Q:AR+AL,3,-0.885057,0.082760,0.370823,0.000000,0.379940,0.187581,0.864953,0.000000,0.002102,0.941089,-0.205015,0.000000,0.006885,-1.145859,1.282331,1.000000,0.473817,0,20260420,4,3,0.593006,0.118937,30923,64393,765,0.903667,0.633024
4,Up-R @ Q:AR+AL#4,4,BIPOP,2,0.678278,2026-05-19 09:12:52,0.057851,0.109559,0.110521,0.121349,0.206396,1.010498,0.068750,0.053668,0.227880,865830,Up-R @ Q:AR+AL,4,-0.989011,0.037836,0.378051,0.000000,0.379109,0.167947,0.974970,0.000000,-0.025110,1.045399,-0.170315,0.000000,0.034928,-1.272588,1.280421,1.000000,0.500694,0,20260420,5,3,0.629380,0.105322,27635,64393,765,0.879227,0.688941
5,Up-R @ Q:AR+AL#5,4,BIPOP,3,0.759828,2026-05-19 09:12:54,0.057851,0.109559,0.110521,0.121349,0.206396,1.010498,0.058551,0.048623,0.198351,885315,Up-R @ Q:AR+AL,5,-1.153617,-0.091605,0.366084,0.000000,0.345456,0.217559,1.143053,0.000000,-0.151885,1.190596,-0.180704,0.000000,0.296690,-1.437913,1.331818,1.000000,0.559064,0,20260420,6,3,0.703581,0.097954,30934,64393,765,0.843128,0.809559
6,Up-R @ Q:AR+AL#6,4,BIPOP,4,0.664433,2026-05-19 09:13:04,0.057851,0.109559,0.110521,0.121349,0.206396,1.010498,0.050282,0.042816,0.159788,885315,Up-R @ Q:AR+AL,6,-1.262318,-0.319835,0.343628,0.000000,0.309258,0.175108,1.299045,0.000000,-0.353177,1.296481,-0.090683,0.000000,0.535186,-1.504915,1.267315,1.000000,0.600777,0,20260420,7,3,0.765963,0.105389,34542,64393,765,0.841873,0.894679
7,Up-R @ Q:AR+AL#7,4,BIPOP,5,0.601365,2026-05-19 09:13:06,0.057851,0.109559,0.110521,0.121349,0.206396,1.010498,0.045718,0.039351,0.126311,885315,Up-R @ Q:AR+AL,7,-1.439082,-0.353453,0.347246,0.000000,0.321267,0.146441,1.480475,0.000000,-0.377222,1.473123,-0.063856,0.000000,0.598985,-1.703049,1.281974,1.000000,0.626674,0,20260420,8,3,0.744618,0.094307,34273,64393,765,0.767174,0.962014
8,Up-R @ Q:AR+AL#8,4,BIPOP,6,0.642593,2026-05-19 09:13:09,0.057851,0.109559,0.110521,0.121349,0.206396,1.010498,0.043979,0.038004,0.116543,885315,Up-R @ Q:AR+AL,8,-1.509995,-0.302687,0.426189,0.000000,0.418564,0.080329,1.540030,0.000000,-0.313146,1.566929,0.003378,0.000000,0.487600,-1.790074,1.211393,1.000000,0.600964,0,20260420,9,3,0.689283,0.105186,36718,64393,765,0.708488,0.962161
9,Up-R @ Q:AR+AL#9,4,BIPOP,7,0.579550,2026-05-19 09:13:25,0.057851,0.109559,0.110521,0.121349,0.206396,1.010498,0.045019,0.038679,0.125448,885315,Up-R @ Q:AR+AL,9,-1.440674,-0.312416,0.378576,0.000000,0.366606,0.095677,1.474080,0.000000,-0.326379,1.486509,-0.015312,0.000000,0.512984,-1.709319,1.221796,1.000000,0.617467,0,20260420,9,3,0.722630,0.093196,33639,64393,765,0.750737,0.950743
10,Up-R @ Q:AR+AL#10,4,BIPOP,8,0.421865,2026-05-19 09:13:25,0.057851,0.109559,0.110521,0.121349,0.206396,1.010498,0.045019,0.038679,0.125448,885315,Up-R @ Q:AR+AL,10,-1.440674,-0.312416,0.378576,0.000000,0.366606,0.095677,1.474080,0.000000,-0.326379,1.486509,-0.015312,0.000000,0.512984,-1.709319,1.221796,1.000000,0.617467,0,20260420,10,3,0.722630,0.093196,33639,64393,765,0.750737,0.950743
